x,y,z
0.0214425, 0.5244347, 0.3235867
0.0214425, 0.5269367, 0.380117
0.0214425, 0.5274445, 0.4191033
0.0214425, 0.5277451, 0.454191
0.0214425, 0.5260929, 0.4756335
0.0214425, 0.5249486, 0.5614035
0.0214425, 0.5253902, 0.5653021
0.0214425, 0.526964, 0.6218324
0.0214425, 0.524039, 0.6530215
0.0214425, 0.5257353, 0.7797271
0.0214425, 0.5284503, 0.8362573
0.0214425, 0.5246244, 0.8927875
0.0214425, 0.5248564, 0.9278752
0.0214425, 0.5257307, 0.9512671
0.02339181, 0.5262552, 0.007797271
0.02339181, 0.5262439, 0.0662768
0.02339181, 0.5272473, 0.1500975
0.02339181, 0.5272698, 0.1559454
0.02339181, 0.5270092, 0.1598441
0.02339181, 0.5258175, 0.1676413
0.02339181, 0.524621, 0.1773879
0.02339181, 0.5245492, 0.1793372
0.02339181, 0.5250901, 0.1890838
0.02339181, 0.5275502, 0.2436647
0.02339181, 0.5240229, 0.2982456
0.02339181, 0.5273679, 0.4249513
0.02339181, 0.5260637, 0.4736842
0.02339181, 0.5258319, 0.5360624
0.02339181, 0.5252953, 0.539961
0.02339181, 0.5265078, 0.6237817
0.02339181, 0.5247215, 0.7231969
0.02339181, 0.5270887, 0.7699805
0.02339181, 0.5264704, 0.7738792
0.02339181, 0.5251272, 0.8070176
0.02339181, 0.5268298, 0.871345
0.02339181, 0.5268435, 0.8752437
0.02339181, 0.5227843, 0.9122807
0.02339181, 0.5264334, 0.9707602
0.02534113, 0.525489, 0.01364522
0.02534113, 0.5251127, 0.02923977
0.02534113, 0.5267017, 0.09551657
0.02534113, 0.526625, 0.122807
0.02534113, 0.5268869, 0.1500975
0.02534113, 0.5246501, 0.1773879
0.02534113, 0.5274998, 0.2417154
0.02534113, 0.5275978, 0.2436647
0.02534113, 0.5243765, 0.3157895
0.02534113, 0.5263993, 0.3508772
0.02534113, 0.5271693, 0.4015594
0.02534113, 0.5271693, 0.4035088
0.02534113, 0.5270894, 0.4093567
0.02534113, 0.5268465, 0.4580897
0.02534113, 0.5267551, 0.460039
0.02534113, 0.525488, 0.4775828
0.02534113, 0.5253812, 0.4795322
0.02534113, 0.5261521, 0.534113
0.02534113, 0.5258304, 0.5360624
0.02534113, 0.526067, 0.5808967
0.02534113, 0.5258211, 0.6764132
0.02534113, 0.5269526, 0.6822612
0.02534113, 0.5272031, 0.7387914
0.02534113, 0.5280797, 0.7641326
0.02534113, 0.5257479, 0.8869396
0.02534113, 0.52573, 0.9551657
0.02534113, 0.5258235, 0.9590643
0.02729045, 0.5262161, 0.08382066
0.02729045, 0.5260422, 0.1345029
0.02729045, 0.5260422, 0.1364522
0.02729045, 0.5247922, 0.1832359
0.02729045, 0.5241625, 0.2709552
0.02729045, 0.5245375, 0.294347
0.02729045, 0.5248204, 0.3099415
0.02729045, 0.5246819, 0.3177388
0.02729045, 0.5261567, 0.3430799
0.02729045, 0.5261391, 0.3645224
0.02729045, 0.526079, 0.368421
0.02729045, 0.5269426, 0.4463938
0.02729045, 0.5268335, 0.4502924
0.02729045, 0.5256317, 0.4931774
0.02729045, 0.525629, 0.5380117
0.02729045, 0.5247391, 0.5575049
